"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test-metrics.R","metrics","RMSE and MAE agree with direct calculations",2,0,FALSE,FALSE,0,0.0199999999999996,0,0.0100000000000016,2
"test-multiclass-030.R","multiclass-030","multiclass Gold fixture is frozen and imbalanced",3,0,FALSE,FALSE,0,0.0200000000000014,0,0.0199999999999996,3
"test-multiclass-030.R","multiclass-030","multiclass probability metrics use named normalized columns",2,0,FALSE,FALSE,0,0,0.02,0.0100000000000016,2
"test-nested-tuning-040.R","nested-tuning-040","nested resampling stores distinct outer and inner hashes",3,0,FALSE,FALSE,0,0.0499999999999989,0.02,0.0599999999999987,3
"test-optimizers-040.R","optimizers-040","racing and Bayesian optimization create inspectable archives",2,0,FALSE,FALSE,0,0.43,0.0700000000000001,0.52,2
"test-optimizers-040.R","optimizers-040","successive halving and Hyperband use an explicit resource parameter",2,0,FALSE,FALSE,0,0.609999999999999,0.16,0.73,2
"test-pareto-040.R","pareto-040","Pareto front honors objective directions",3,0,FALSE,FALSE,0,0.0500000000000007,0,0.0500000000000007,3
"test-persistence-080.R","persistence-080","portable bundle round-trip reproduces predictions",3,0,FALSE,FALSE,0,0.25,0.0299999999999998,0.300000000000001,3
"test-persistence-080.R","persistence-080","checksum corruption is rejected before loading",1,0,FALSE,FALSE,0,0.0899999999999999,0.0300000000000002,0.140000000000001,1
"test-persistence-080.R","persistence-080","opaque bundles require explicit trust",2,0,FALSE,FALSE,0,0.110000000000001,0.0600000000000001,0.219999999999999,2
"test-persistence-080.R","persistence-080","opaque calibrated classification bundle replays calibration after trusted load",2,0,FALSE,FALSE,0,0.239999999999998,0.02,0.260000000000002,2
"test-preprocess.R","preprocess","preprocessing fits training statistics only",4,0,FALSE,FALSE,0,0.0199999999999996,0,0.0199999999999996,4
"test-probabilistic-030.R","probabilistic-030","normal PredictionDistribution supports core operations",6,0,FALSE,FALSE,0,0.0399999999999991,0,0.0499999999999972,6
"test-probabilistic-030.R","probabilistic-030","class probabilities are normalized and scoreable",3,0,FALSE,FALSE,0,0.0500000000000007,0,0.0500000000000007,3
"test-probabilistic-dl-060.R","probabilistic-dl-060","Gaussian distributional head has constrained scale semantics",1,0,FALSE,FALSE,0,0.00999999999999979,0,0.0100000000000016,1
"test-probabilistic-dl-060.R","probabilistic-dl-060","ensemble seeds must be distinct",1,0,FALSE,FALSE,0,0.0199999999999996,0,0.0199999999999996,1
"test-probabilistic-dl-060.R","probabilistic-dl-060","uncertainty is not decomposed when components are unidentified",1,0,FALSE,FALSE,0,0.0200000000000014,0,0,1
"test-release-100-contract.R","release-100-contract","1.0.0 keeps the 0.9.0 public API freeze",3,0,FALSE,FALSE,0,0.0299999999999994,0,0.0300000000000011,3
"test-release-100-contract.R","release-100-contract","1.0.0 release metadata are installed",1,0,FALSE,FALSE,0,0.00999999999999979,0,0.0199999999999996,1
"test-resample-experiment-020.R","resample-experiment-020","grouped resample experiment fits preprocessing and selection inside folds",6,0,FALSE,FALSE,0,0.120000000000001,0,0.140000000000001,6
"test-resample-experiment-020.R","resample-experiment-020","PCA representation is learned and applied independently inside folds",2,0,FALSE,FALSE,0,0.129999999999999,0,0.109999999999999,2
"test-resampling-020.R","resampling-020","group V-fold never splits a declared group",5,0,FALSE,FALSE,0,0.0300000000000011,0,0.0399999999999991,5
"test-resampling-020.R","resampling-020","time validation trains strictly before assessment",2,0,FALSE,FALSE,0,0,0.02,0.0100000000000016,2
"test-resampling-020.R","resampling-020","spatial blocks are reproducible from configuration",1,0,FALSE,FALSE,0,0.0600000000000005,0,0.0599999999999987,1
"test-resampling-020.R","resampling-020","ordinary row-wise CV is blocked for grouped designs",1,0,FALSE,FALSE,0,0.00999999999999979,0,0.0199999999999996,1
"test-resampling-020.R","resampling-020","external validation isolates declared domains",2,0,FALSE,FALSE,0,0.0199999999999996,0,0.0100000000000016,2
"test-search-space-040.R","search-space-040","conditional search spaces generate valid configurations",3,0,FALSE,FALSE,0,0.0199999999999996,0,0.0500000000000007,3
"test-search-space-040.R","search-space-040","search spaces survive portable serialization",2,0,FALSE,FALSE,0,0,0,0.00999999999999801,2
"test-security-100-contract.R","security-100-contract","opaque bundles preserve the explicit trust boundary",1,0,TRUE,FALSE,0,0.0199999999999996,0,0,0
"test-serialization.R","serialization","core specs round-trip through JSON",2,0,FALSE,FALSE,0,0.0299999999999994,0,0.0500000000000007,2
"test-serialization.R","serialization","hash changes when scientific specification changes",1,0,FALSE,FALSE,0,0.0100000000000016,0,0,1
"test-serialization.R","serialization","portable schemas use unqualified stable class names",1,0,FALSE,FALSE,0,0.0199999999999996,0,0,1
"test-serialization.R","serialization","run metadata generation does not consume the global RNG stream",1,0,FALSE,FALSE,0,0.0199999999999996,0,0.00999999999999801,1
"test-specs-030.R","specs-030","0.3.0 specifications construct and serialize",6,0,FALSE,FALSE,0,0.0299999999999994,0,0.0300000000000011,6
"test-specs-030.R","specs-030","probabilistic quantiles are validated",3,0,FALSE,FALSE,0,0,0,0.0199999999999996,3
"test-specs-040.R","specs-040","0.4 specifications are valid and composable",5,0,FALSE,FALSE,0,0,0,0.0299999999999976,5
"test-specs-070.R","specs-070","conformal spec is part of ExperimentSpec",2,0,FALSE,FALSE,0,0.00999999999999979,0,0.00999999999999801,2
"test-specs-080.R","specs-080","0.8 specifications validate",4,0,FALSE,FALSE,0,0.0199999999999996,0.0100000000000002,0.0100000000000016,4
"test-specs-080.R","specs-080","ExperimentSpec carries optional operations layer",2,0,FALSE,FALSE,0,0,0.02,0.0399999999999991,2
"test-specs.R","specs","core specifications construct valid objects",3,0,FALSE,FALSE,0,0,0.00999999999999979,0.0199999999999996,3
"test-specs.R","specs","invalid task and preprocessing specifications fail",3,0,FALSE,FALSE,0,0.0199999999999996,0.02,0.00999999999999801,3
"test-splits.R","splits","holdout is disjoint and reproducible",3,0,FALSE,FALSE,0,0.0200000000000014,0,0.0100000000000016,3
"test-splits.R","splits","split manifest restores ID membership",2,0,FALSE,FALSE,0,0,0.02,0.0199999999999996,2
"test-tracking-080.R","tracking-080","local tracker starts, logs, ends, and resumes interrupted runs",5,0,FALSE,FALSE,0,0.0399999999999991,0.0300000000000002,0.0899999999999999,5
"test-tuning-040.R","tuning-040","grid and random objective tuning produce reproducible archives",4,0,FALSE,FALSE,0,0.0500000000000007,0.00999999999999979,0.0500000000000007,4
"test-tuning-040.R","tuning-040","multi-objective tuning preserves Pareto set and requires explicit compromise",3,0,FALSE,FALSE,0,0.0199999999999996,0.02,0.0399999999999991,3
"test-tuning-040.R","tuning-040","data marked as final test are rejected by managed tuning",1,0,FALSE,FALSE,0,0.00999999999999979,0,0.0199999999999996,1
"test-uncertainty-070.R","uncertainty-070","canonical interval types remain non-interchangeable",3,0,FALSE,FALSE,0,0.0199999999999996,0,0.0199999999999996,3
"test-uncertainty-070.R","uncertainty-070","false uncertainty decomposition is blocked",1,0,FALSE,FALSE,0,0,0,0.0199999999999996,1
"test-warnings-capabilities.R","warnings-capabilities","scientific warning records retain severity and evidence",3,0,FALSE,FALSE,0,0,0.02,0.0100000000000016,3
"test-warnings-capabilities.R","warnings-capabilities","stats reference backend advertises expected capabilities",3,0,FALSE,FALSE,0,0.0200000000000014,0.0299999999999998,0.0399999999999991,3
