notebook,status,seconds,stderr_tail
11-deep-learning-foundations.ipynb,PASS,11.2,t implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12293 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\11-deep-learning-foundations.ipynb
12-deep-learning-architectures.ipynb,PASS,11.3,implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12297 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\12-deep-learning-architectures.ipynb
13-probabilistic-deep-learning.ipynb,PASS,11.3,implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12297 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\13-probabilistic-deep-learning.ipynb
14-deep-learning-xai-and-reproducibility.ipynb,PASS,11.2,add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12317 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\14-deep-learning-xai-and-reproducibility.ipynb
15-bayesian-modeling.ipynb,PASS,11.3, does not implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12277 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\15-bayesian-modeling.ipynb
16-bayesian-diagnostics-and-predictive-checking.ipynb,PASS,11.2,der family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12331 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\16-bayesian-diagnostics-and-predictive-checking.ipynb
17-conformal-prediction.ipynb,PASS,11.3,es not implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12283 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\17-conformal-prediction.ipynb
18-full-uncertainty.ipynb,PASS,11.1,p does not implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12275 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\18-full-uncertainty.ipynb
19-complete-scientific-workflow.ipynb,PASS,11.2,mplement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12299 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\19-complete-scientific-workflow.ipynb
20-tracking-persistence-and-scalable-inference.ipynb,PASS,11.2,ader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12329 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\20-tracking-persistence-and-scalable-inference.ipynb
21-agronomy-soil-workflow.ipynb,PASS,11.1, not implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12287 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\21-agronomy-soil-workflow.ipynb
22-spectroscopy-phenotyping-workflow.ipynb,PASS,11.1,ent add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12309 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\22-spectroscopy-phenotyping-workflow.ipynb
23-spatial-environmental-workflow.ipynb,PASS,11.1,lement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12303 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\23-spatial-environmental-workflow.ipynb
24-protected-external-validation.ipynb,PASS,11.3,plement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12301 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\24-protected-external-validation.ipynb
25-api-catalog.ipynb,PASS,11.4,t loop does not implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12265 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\25-api-catalog.ipynb
26-migration-and-deprecation.ipynb,PASS,11.1,t implement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12293 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\26-migration-and-deprecation.ipynb
27-validation-and-reproducibility.ipynb,PASS,11.0,lement add_reader family of methods required for zmq. Registering an additional selector thread for add_reader support via tornado. Use `asyncio.set_event_loop_policy(WindowsSelectorEventLoopPolicy())` to avoid this warning.   self._get_loop() [NbConvertApp] Writing 12303 bytes to D:\Walter\R\Pacotes_criados\sciModelFlowR\repo\outputs\rendered-docs\notebooks\27-validation-and-reproducibility.ipynb
